genus,marker,n_unadjusted,n_adjusted,unadjusted_r,unadjusted_p,unadj_ci_lo,unadj_ci_hi,adjusted_r,adjusted_p,adj_ci_lo,adj_ci_hi,survives_adjustment,direction_consistent,unadj_direction,adj_direction,adj_bonferroni_passes,adj_fdr_adjusted_p,adj_fdr_passes
Rothia,LDL,4418,3650,0.0452,0.002642510805916301,0.0158,0.0746,0.0067,0.6874142608491043,-0.0258,0.0391,False,True,positive,positive,False,0.8140432036370971,False
Rothia,Triglycerides,4496,3724,0.0357,0.016683704448871444,0.0065,0.0649,-0.0089,0.5884172656425516,-0.041,0.0233,False,False,positive,negative,False,0.778787557468083,False
Rothia,Glucose,4539,3760,0.0408,0.0059607640326387,0.0117,0.0698,-0.0211,0.19544592302386968,-0.0531,0.0108,False,False,positive,negative,False,0.3872256528137742,False
Rothia,Total Chol,9239,7649,0.0522,5.045903389051265e-07,0.0319,0.0726,-0.0094,0.40917661843694086,-0.0318,0.013,False,False,positive,negative,False,0.6241677230394013,False
Rothia,Systolic BP,9520,7838,0.0624,1.1385407669174817e-09,0.0423,0.0823,-0.0097,0.38967313577605545,-0.0319,0.0124,False,False,positive,negative,False,0.6046652106869825,False
Rothia,Diastolic BP,9498,7824,0.0495,1.3746434213260564e-06,0.0294,0.0696,0.0025,0.8284309045056272,-0.0197,0.0246,False,True,positive,positive,False,0.9180759124850804,False
Rothia,HbA1c,9360,7752,0.0784,2.957279488308676e-14,0.0583,0.0985,0.0016,0.8900606211295423,-0.0207,0.0238,False,True,positive,positive,False,0.9314587895541722,False
Neisseria,hsCRP,4713,3912,-0.0507,0.0005005527026951609,-0.0791,-0.0222,-0.0218,0.17219594178082195,-0.0531,0.0095,False,True,negative,negative,False,0.35221897182440853,False
Neisseria,HDL,9239,7649,0.0228,0.02855645559128704,0.0024,0.0432,0.0109,0.34143620248476614,-0.0115,0.0333,False,True,positive,positive,False,0.557255445005889,False
Neisseria,LDL,4418,3650,-0.0359,0.01698803651167915,-0.0653,-0.0064,-0.0184,0.2664095534684585,-0.0508,0.014,False,True,negative,negative,False,0.47013450612080915,False
Neisseria,Triglycerides,4496,3724,-0.0844,1.4236351366098051e-08,-0.1134,-0.0553,-0.0348,0.03362379670828083,-0.0669,-0.0027,True,True,negative,negative,False,0.11639006552866442,False
Neisseria,Glucose,4539,3760,-0.0165,0.26541140887992054,-0.0456,0.0126,0.0014,0.9329162153706212,-0.0306,0.0333,False,False,negative,positive,False,0.9493812905934818,False
Neisseria,Total Chol,9239,7649,-0.052,5.830261873906089e-07,-0.0723,-0.0316,-0.0226,0.04798338916880363,-0.045,-0.0002,True,True,negative,negative,False,0.1489139663859423,False
Neisseria,Systolic BP,9520,7838,-0.0614,1.972671183408799e-09,-0.0814,-0.0414,-0.0517,4.738854146942798e-06,-0.0737,-0.0296,True,True,negative,negative,True,0.00010662421830621294,True
Neisseria,Diastolic BP,9498,7824,-0.0476,3.533709333271869e-06,-0.0676,-0.0275,-0.0346,0.0022236146103615773,-0.0567,-0.0124,True,True,negative,negative,False,0.01539425499481092,True
Neisseria,HbA1c,9360,7752,-0.042,4.852675065621085e-05,-0.0622,-0.0217,-0.0185,0.10311603793479139,-0.0408,0.0037,False,True,negative,negative,False,0.22635227839344452,False
Streptococcus,hsCRP,4713,3912,-0.0289,0.047555849238436296,-0.0574,-0.0003,-0.0087,0.5848940094846269,-0.0401,0.0226,False,True,negative,negative,False,0.778787557468083,False
Streptococcus,HDL,9239,7649,0.0154,0.13975578989762594,-0.005,0.0357,-0.0223,0.051271277414913254,-0.0447,0.0001,False,False,positive,negative,False,0.15381383224473977,False
Streptococcus,LDL,4418,3650,-0.0531,0.0004161665352546651,-0.0824,-0.0236,-0.0281,0.08997326045063225,-0.0605,0.0044,False,True,negative,negative,False,0.21349727030175808,False
Streptococcus,Triglycerides,4496,3724,-0.0421,0.0047507756457164695,-0.0712,-0.0129,-0.0211,0.19791533366037345,-0.0532,0.011,False,True,negative,negative,False,0.3872256528137742,False
