Name	Taxonomy in SILVA v123
RB_family41	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae
RB_family42	Bacteria;Actinobacteria;Actinobacteria;Frankiales;NA
RB_family43	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae
RB_family44	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae
RB_family45	Bacteria;Actinobacteria;Actinobacteria;Glycomycetales;Glycomycetaceae
RB_family46	Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae
RB_family47	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Beutenbergiaceae
RB_family48	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae
RB_family49	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae
RB_family50	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae
RB_family51	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae
RB_family52	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae
RB_family53	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae
RB_family54	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermatophilaceae
RB_family55	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae
RB_family56	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae
RB_family57	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae
RB_family58	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;NA
RB_family59	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae
RB_family60	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Rarobacteraceae
RB_family61	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Sanguibacteraceae
RB_family62	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae
RB_family63	Bacteria;Actinobacteria;Actinobacteria;NA;NA
RB_family64	Bacteria;Actinobacteria;Actinobacteria;PeM15;NA
RB_family65	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;NA
RB_family66	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae
RB_family67	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae
RB_family68	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae
RB_family69	Bacteria;Actinobacteria;Actinobacteria;RL185-aaj71c12;NA
RB_family70	Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae
RB_family71	Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;NA
RB_family72	Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Nocardiopsaceae
RB_family73	Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae
RB_family74	Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae
RB_family75	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae
RB_family76	Bacteria;Actinobacteria;MB-A2-108;NA;NA
RB_family77	Bacteria;Actinobacteria;NA;NA;NA
RB_family78	Bacteria;Actinobacteria;Nitriliruptoria;Euzebyales;Euzebyaceae
RB_family79	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae
